First Name,Last Name,Position,Jersey,Team,Games Played,Points,Scoring Points,Total Goals,1Pt Goals,2Pt Goals,Assists,Shots,Shooting %,Shots On Goal,Shots On Goal %,2Pt Shots,2Pt Shots %,2Pt Shots On Goal,2Pt Shots On Goal %,Turnovers,Caused Turnovers,Groundballs,Touches,Passes,Faceoff %,Faceoffs Won,Faceoffs Lost,Faceoffs,Scores Against Average,Saves,Save %,Clean Saves,Clean Save %,Scores Against,2Pt Goals Against,Penalties,Penalties (in minutes),Power Play Goals,Power Play Shots,Power Play Goals Against,Short Handed Goals,Short Handed Shots,Unassisted Goals,Assisted Goals
Eli,Gobrecht,D,25,Waterdogs,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,15,15,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Austin,Kaut,G,14,Chaos,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,8.02,5,0.62,1,0.2,3,0,0,0,0,0,0,0,0,0,0
Dox,Aitken,M,6,Atlas,2,0,0,0,0,0,0,4,0,1,0.25,0,0,0,0,2,0,1,19,13,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Adam,Ghitelman,G,8,Cannons,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,Jeffrey,D,27,Archers,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,11,42,38,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0
Bryce,Young,D,41,Cannons,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,13,37,33,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Garrett,Epple,D,52,Cannons,10,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,12,14,74,71,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,0,0
Levi,Verch,LSM,60,Chaos,10,0,0,0,0,0,0,3,0,1,0.33,2,0,0,0,5,4,20,51,43,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Jake,Naso,FO,56,Archers,4,0,0,0,0,0,0,4,0,1,0.25,1,0,1,1,2,0,14,15,9,0.33,30,59,90,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Payton,Rezanka,SSDM,34,Atlas,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,12,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick,Washuta,G,18,Archers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
