First Name,Last Name,Position,Jersey,Team,Games Played,Points,Scoring Points,Total Goals,1Pt Goals,2Pt Goals,Assists,Shots,Shooting %,Shots On Goal,Shots On Goal %,2Pt Shots,2Pt Shots %,2Pt Shots On Goal,2Pt Shots On Goal %,Turnovers,Caused Turnovers,Groundballs,Touches,Passes,Faceoff %,Faceoffs Won,Faceoffs Lost,Faceoffs,Scores Against Average,Saves,Save %,Clean Saves,Clean Save %,Scores Against,2Pt Goals Against,Penalties,Penalties (in minutes),Power Play Goals,Power Play Shots,Power Play Goals Against,Short Handed Goals,Short Handed Shots,Unassisted Goals,Assisted Goals
JT,Giles-Harris,D,1,Outlaws,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin,Anderson,M,21,Outlaws,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrod,Neumann,D,88,Chaos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Eric,Spanos,A,7,Chaos,1,0,0,0,0,0,0,4,0,4,1,0,0,0,0,1,0,2,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark,Glicini,SSDM,16,Chaos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0.33,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin,Kaut,G,14,Chaos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,16,15,0.53,6,0.4,16,3,0,0,0,0,1,0,0,0,0
Troy,Reh,LSM,10,Chaos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Rowlett,D,99,Chaos,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,2,6,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Liam,Byrnes,D,21,Chaos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin,Inacio,FO,30,Chaos,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,8,7,0.61,16,10,26,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Scott,Smith,D,18,Chaos,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon,Robbins,LSM,41,Atlas,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chet,Comizio,SSDM,57,Atlas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,1,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
